episode,train_reward,steps,loss,epsilon,eval_avg_reward,eval_avg_latency,eval_sla_rate,eval_avg_cost,mean_q,edge_pct,cloud_pct,reject_pct,elapsed_sec
50,-214.8326,200,0.289547,0.7783,-153.8794,282.47,48.98,0.907712,-27.571,79.23,18.24,2.53,50.7
100,-194.8859,200,0.354054,0.6058,-146.7133,269.33,51.65,1.057139,-46.1884,70.25,27.73,2.02,109.5
150,-194.4553,200,0.426267,0.4715,-153.1169,247.64,49.58,0.995882,-57.984,64.16,27.0,8.85,168.9
200,-172.7326,200,0.50268,0.367,-154.1163,243.1,50.31,0.90158,-65.6715,66.2,22.5,11.3,228.7
250,-173.5168,200,0.584924,0.2856,-147.255,272.22,52.2,1.211308,-70.2632,63.4,35.17,1.44,290.2
300,-148.1948,200,0.544246,0.2223,-147.1789,262.35,52.65,0.981234,-73.502,70.41,24.88,4.71,352.5
350,-162.0652,200,0.646117,0.173,-151.9744,266.67,50.76,1.051467,-75.147,66.11,28.59,5.29,414.8
400,-141.7868,200,0.589177,0.1347,-147.9236,263.28,52.36,0.955602,-76.5819,72.28,22.82,4.91,477.9
450,-151.2128,200,0.555991,0.1048,-148.2012,254.88,52.13,1.135104,-77.259,61.69,32.38,5.93,566.9
500,-141.2015,200,0.455334,0.0816,-158.5346,216.5,51.18,1.048508,-77.4874,49.58,31.81,18.62,634.3
550,-145.253,200,0.515133,0.0635,-152.7146,272.46,50.37,0.957545,-77.256,71.57,23.31,5.12,739.9
600,-154.0853,200,0.48694,0.05,-143.7059,269.97,53.88,1.074244,-77.2437,70.43,28.22,1.35,822.2
650,-154.3254,200,0.501159,0.05,-145.0727,277.11,53.93,1.028935,-77.065,72.95,25.69,1.37,890.3
700,-135.9566,200,0.582485,0.05,-141.239,274.14,54.86,1.091669,-76.7703,70.57,29.06,0.37,958.2
750,-152.9295,200,0.571039,0.05,-146.0662,264.22,52.88,1.124855,-76.4005,65.95,31.14,2.9,1029.4
800,-159.3929,200,0.56124,0.05,-145.4228,277.23,53.52,1.039387,-76.0489,73.67,25.52,0.81,1119.6
850,-148.0115,200,0.483839,0.05,-147.7945,245.73,53.59,0.901928,-75.8997,68.39,22.03,9.57,1193.7
900,-146.552,200,0.500516,0.05,-144.3004,262.89,54.01,1.095811,-75.879,66.52,30.31,3.17,1273.3
950,-162.8349,200,0.618959,0.05,-145.1097,278.97,54.18,0.996824,-75.826,74.85,23.99,1.16,1367.4
1000,-148.6477,200,0.594717,0.05,-145.6293,262.6,53.95,1.09169,-75.7711,66.12,29.86,4.01,1431.8
1050,-140.5579,200,0.497705,0.05,-141.7969,275.61,54.78,1.058307,-76.0067,72.42,27.18,0.4,1533.7
1100,-139.744,200,0.537795,0.05,-145.3895,281.46,53.79,0.969097,-76.1122,76.67,22.62,0.71,1659.8
1150,-151.9603,200,0.525638,0.05,-146.1952,241.27,54.12,1.032905,-76.2154,62.45,28.71,8.85,1776.7
1200,-154.4457,200,0.632274,0.05,-148.6344,280.51,52.31,1.151706,-76.1145,67.66,31.34,1.0,1896.7
1250,-152.6268,200,0.601569,0.05,-150.7478,280.08,51.21,0.936778,-76.3909,76.9,21.16,1.93,2007.6
1300,-145.7988,200,0.549283,0.05,-146.5085,266.1,53.24,1.068732,-76.2769,68.66,28.28,3.06,2089.4
1350,-163.5769,200,0.488417,0.05,-143.5988,268.08,53.99,1.093776,-76.1551,68.86,29.47,1.67,2252.7
1400,-166.3444,200,0.530355,0.05,-144.6973,265.95,53.55,1.148983,-75.9873,65.16,32.48,2.36,2375.7
1450,-160.8645,200,0.49153,0.05,-151.8859,265.05,52.29,1.013528,-75.6657,67.34,26.25,6.4,2546.0
1500,-153.7291,200,0.519773,0.05,-148.1068,264.77,52.64,1.089691,-75.4556,66.36,29.89,3.75,2628.3
1550,-136.3734,200,0.567956,0.05,-147.49,271.96,52.76,1.053249,-75.1644,69.88,27.58,2.53,2708.7
1600,-154.6804,200,0.508859,0.05,-142.8534,260.82,54.64,1.017873,-75.104,69.97,26.36,3.67,2826.0
1650,-135.3466,200,0.55779,0.05,-144.3761,273.92,53.34,1.073709,-75.2628,70.78,28.29,0.92,2912.6
1700,-156.7903,200,0.599154,0.05,-146.0647,267.26,53.34,1.026574,-75.0594,70.53,26.22,3.26,2979.5
1750,-158.1764,200,0.492231,0.05,-147.263,268.78,53.63,0.998136,-74.9769,71.13,25.01,3.86,3045.8
1800,-137.1046,200,0.542315,0.05,-144.4734,274.28,53.97,1.021699,-74.6602,73.2,25.45,1.35,3208.5
1850,-147.8465,200,0.575964,0.05,-143.0201,272.25,54.05,1.059847,-74.527,71.86,27.18,0.97,3328.3
1900,-149.0044,200,0.551883,0.05,-153.7358,209.3,53.26,0.95366,-74.3712,52.41,28.46,19.14,3397.7
1950,-146.4615,200,0.493509,0.05,-146.0179,261.05,54.27,0.926852,-74.5525,72.88,21.73,5.4,3505.7
2000,-170.0998,200,0.451094,0.05,-152.2943,224.37,52.92,1.060508,-74.5912,52.7,32.26,15.04,3678.9
