timestep,avg_reward,avg_latency,sla_rate,avg_cost,elapsed_sec
10000,-286.8248,285.45,48.62,1.004186,14.6
20000,-251.7069,267.52,52.72,1.037824,31.7
30000,-127.8188,201.65,67.9,1.956714,47.9
40000,-121.0965,192.87,68.2,2.004227,64.2
50000,-118.0656,198.17,69.1,1.89248,80.9
60000,-120.5458,195.8,68.6,2.016563,97.5
70000,-117.0425,197.63,69.27,1.94035,113.7
80000,-121.7156,196.55,68.4,1.950812,129.5
90000,-118.0117,196.89,68.97,1.887769,143.6
100000,-118.7605,193.94,68.58,1.903724,159.4
110000,-128.066,201.11,67.6,1.787913,175.3
120000,-118.0801,195.02,68.75,1.865738,190.9
130000,-107.8446,193.03,70.28,1.880768,207.1
140000,-118.3394,195.23,68.77,1.904692,223.8
150000,-115.3978,191.44,68.88,1.895043,240.1
160000,-107.0837,191.16,70.28,1.930488,255.6
170000,-114.9793,193.62,69.23,1.947038,270.8
180000,-98.9764,188.1,71.35,1.954478,284.7
190000,-107.3286,191.69,70.35,1.981824,300.7
200000,-107.1568,188.85,70.12,2.006768,316.6
210000,-98.1396,184.87,71.3,2.064944,332.4
220000,-115.6293,192.12,69.05,2.015565,348.1
230000,-120.0529,191.62,68.32,2.066908,364.0
240000,-102.5464,188.18,70.93,2.088686,379.7
250000,-117.4764,188.62,68.47,2.083775,395.8
260000,-104.085,187.07,70.38,1.937717,409.4
270000,-109.7105,190.23,69.75,1.935298,426.6
280000,-114.3126,190.87,69.1,1.978872,442.3
290000,-108.816,189.89,69.85,1.92247,458.6
300000,-116.6483,192.11,68.77,1.929684,474.8
